0x129	0x6435	320
0x33d	0x3335	320
0x33d	0x3435	64
0x48f	0x363130	320
0x53f	0x3435	320
0x737	0x3035	320
0x737	0x3136	63
0x84d	0x363130	64
0x84d	0x363030	320
0x10d1	0x623438	320
0x117d	0x343631306337	320
0x117d	0x3537363030	320
0x117d	0x3639366536	320
0x117d	0x63333738646161	320
0x117d	0x63303239303833	320
0x117d	0x6237356433	320
0x117d	0x34323534343734	320
0x117d	0x37663935643931	320
0x117d	0x64356235303531	320
0x117d	0x3437613737	320
0x117d	0x356230343934	320
0x117d	0x38333964303032	320
0x15f1	0x363130	64
0x15f1	0x363030	320
0x1689	0x343935	320
0x1745	0x613735	320
0x1763	0x626235	320
0x1799	0x643135	320
0x1a51	0x363130	64
0x1a51	0x363030	320
0x1cac	0x3761	320
0x725	0x343631306337	2147483647
0x725	0x3537363030	2147483647
0x725	0x3639366536	2147483647
0x725	0x63333738646161	2147483647
0x725	0x63303239303833	2147483647
0x725	0x6237356433	2147483647
0x725	0x34323534343734	2147483647
0x725	0x37663935643931	2147483647
0x725	0x64356235303531	2147483647
0x725	0x3437613737	2147483647
0x725	0x356230343934	2147483647
0x725	0x38333964303032	2147483647
0x7b1	0x363130	64
0x7b1	0x363030	320
0x903	0x343631306337	320
0x903	0x3537363030	320
0x903	0x3639366536	320
0x903	0x63333738646161	320
0x903	0x63303239303833	320
0x903	0x6237356433	320
0x903	0x34323534343734	320
0x903	0x37663935643931	320
0x903	0x64356235303531	320
0x903	0x3437613737	320
0x903	0x356230343934	320
0x903	0x38333964303032	320
0x9b1	0x343631306337	320
0x9b1	0x3537363030	320
0x9b1	0x3639366536	320
0x9b1	0x63333738646161	320
0x9b1	0x63303239303833	320
0x9b1	0x6237356433	320
0x9b1	0x34323534343734	320
0x9b1	0x37663935643931	320
0x9b1	0x64356235303531	320
0x9b1	0x3437613737	320
0x9b1	0x356230343934	320
0x9b1	0x38333964303032	320
0xb1a	0x393235	946026339
0xb1a	0x623438	943338848
0xb1a	0x31656530	121046120
0xb1a	0x613735	943403619
0xb1a	0x626235	943327075
0xb1a	0x643135	943208547
0xe26	0x343631306337	320
0xe26	0x3537363030	320
0xe26	0x3639366536	320
0xe26	0x63333738646161	320
0xe26	0x63303239303833	320
0xe26	0x6237356433	320
0xe26	0x34323534343734	320
0xe26	0x37663935643931	320
0xe26	0x64356235303531	320
0xe26	0x3437613737	320
0xe26	0x356230343934	320
0xe26	0x38333964303032	320
0xe46	0x336566	320
0xe94	0x3033	320
0xe94	0x3035	318
0xe94	0x3136	61
0xeee	0x343631306337	320
0xeee	0x3537363030	320
0xeee	0x3639366536	320
0xeee	0x63333738646161	320
0xeee	0x63303239303833	320
0xeee	0x6237356433	320
0xeee	0x34323534343734	320
0xeee	0x37663935643931	320
0xeee	0x64356235303531	320
0xeee	0x3437613737	320
0xeee	0x356230343934	320
0xeee	0x38333964303032	320
0xf60	0x3033	320
0xf60	0x3035	318
0xf60	0x3136	61
0x10de	0x31656530	320
0x1101	0x343631306337	320
0x1101	0x3537363030	320
0x1101	0x3639366536	320
0x1101	0x63333738646161	320
0x1101	0x63303239303833	320
0x1101	0x6237356433	320
0x1101	0x34323534343734	320
0x1101	0x37663935643931	320
0x1101	0x64356235303531	320
0x1101	0x3437613737	320
0x1101	0x356230343934	320
0x1101	0x38333964303032	320
0x1108	0x61353931	320
0x11e4	0x3033	320
0x11e4	0x3035	318
0x11e4	0x3136	61
0x124b	0x343631306337	320
0x124b	0x3537363030	320
0x124b	0x3639366536	320
0x124b	0x63333738646161	320
0x124b	0x63303239303833	320
0x124b	0x6237356433	320
0x124b	0x34323534343734	320
0x124b	0x37663935643931	320
0x124b	0x64356235303531	320
0x124b	0x3437613737	320
0x124b	0x356230343934	320
0x124b	0x38333964303032	320
0x1468	0x343631306337	320
0x1468	0x3537363030	320
0x1468	0x3639366536	320
0x1468	0x63333738646161	320
0x1468	0x63303239303833	320
0x1468	0x6237356433	320
0x1468	0x34323534343734	320
0x1468	0x37663935643931	320
0x1468	0x64356235303531	320
0x1468	0x3437613737	320
0x1468	0x356230343934	320
0x1468	0x38333964303032	320
0x1488	0x336566	320
0x14af	0x363130	64
0x14af	0x363030	320
0x15dc	0x343631306337	320
0x15dc	0x3537363030	320
0x15dc	0x3639366536	320
0x15dc	0x63333738646161	320
0x15dc	0x63303239303833	320
0x15dc	0x6237356433	320
0x15dc	0x34323534343734	320
0x15dc	0x37663935643931	320
0x15dc	0x64356235303531	320
0x15dc	0x3437613737	320
0x15dc	0x356230343934	320
0x15dc	0x38333964303032	320
0x160a	0x3033	320
0x160a	0x3035	318
0x160a	0x3136	61
0x1676	0x3033	320
0x1676	0x3035	318
0x1676	0x3136	61
0x180c	0x3033	320
0x180c	0x3035	318
0x180c	0x3136	61
0x18e4	0x343631306337	320
0x18e4	0x3537363030	320
0x18e4	0x3639366536	320
0x18e4	0x63333738646161	320
0x18e4	0x63303239303833	320
0x18e4	0x6237356433	320
0x18e4	0x34323534343734	320
0x18e4	0x37663935643931	320
0x18e4	0x64356235303531	320
0x18e4	0x3437613737	320
0x18e4	0x356230343934	320
0x18e4	0x38333964303032	320
0x1918	0x3033	320
0x1918	0x3035	318
0x1918	0x3136	61
0x19a0	0x3033	320
0x19a0	0x3035	318
0x19a0	0x3136	61
0x19d9	0x363130	64
0x19d9	0x363030	320
0x1b31	0x313735	320
0x1b3a	0x343631306337	320
0x1b3a	0x3537363030	320
0x1b3a	0x3639366536	320
0x1b3a	0x63333738646161	320
0x1b3a	0x63303239303833	320
0x1b3a	0x6237356433	320
0x1b3a	0x34323534343734	320
0x1b3a	0x37663935643931	320
0x1b3a	0x64356235303531	320
0x1b3a	0x3437613737	320
0x1b3a	0x356230343934	320
0x1b3a	0x38333964303032	320
0x1b9a	0x343631306337	320
0x1b9a	0x3537363030	320
0x1b9a	0x3639366536	320
0x1b9a	0x63333738646161	320
0x1b9a	0x63303239303833	320
0x1b9a	0x6237356433	320
0x1b9a	0x34323534343734	320
0x1b9a	0x37663935643931	320
0x1b9a	0x64356235303531	320
0x1b9a	0x3437613737	320
0x1b9a	0x356230343934	320
0x1b9a	0x38333964303032	320
0x1bba	0x336566	320
0x1bfc	0x343631306337	320
0x1bfc	0x3537363030	320
0x1bfc	0x3639366536	320
0x1bfc	0x63333738646161	320
0x1bfc	0x63303239303833	320
0x1bfc	0x6237356433	320
0x1bfc	0x34323534343734	320
0x1bfc	0x37663935643931	320
0x1bfc	0x64356235303531	320
0x1bfc	0x3437613737	320
0x1bfc	0x356230343934	320
0x1bfc	0x38333964303032	320
0x1cb8	0x3136	320
0x1cf7	0x343631306337	825767223
0x1cf7	0x3537363030	825767223
0x1cf7	0x3639366536	825767223
0x1cf7	0x63333738646161	825767223
0x1cf7	0x63303239303833	825767223
0x1cf7	0x6237356433	825767223
0x1cf7	0x34323534343734	825767223
0x1cf7	0x37663935643931	825767223
0x1cf7	0x64356235303531	825767223
0x1cf7	0x3437613737	825767223
0x1cf7	0x356230343934	825767223
0x1cf7	0x38333964303032	825767223
