0x1c	0x66666666666666
0x25	0x30313030
0x6e	0x64646530333831
0x7d	0x35373830
0x89	0x6464313436
0x9d	0x65353637
0xa9	0x353738
0xb2	0x3038
0xc8	0x3839623431
0xdc	0x3930
0xe1	0x62623134
0xef	0x363030
0xf6	0x64356233343135
0x10c	0x64356236313030
0x115	0x36313031616135
0x11f	0x363034
0x167	0x383338
0x174	0x62353738
0x192	0x333536
0x197	0x353035
0x1af	0x31363830313536
0x1ba	0x38353738303832
0x1db	0x3033
0x1f1	0x353039
0x20a	0x33356233343135
0x220	0x64356236313031
0x233	0x363034
0x254	0x33356233343135
0x26a	0x64356236313031
0x273	0x363130323465
0x27d	0x363034
0x286	0x66393039313136
0x2a6	0x33356233343135
0x2b3	0x35373630303038
0x2bc	0x64356236313031
0x2cc	0x3036
0x2d3	0x3033
0x2e7	0x333431
0x2f1	0x353736303030
0x2fa	0x64356236313030
0x303	0x36313032363935
0x30d	0x333431
0x320	0x64356236313031
0x328	0x3836
0x330	0x3036
0x337	0x3033
0x34c	0x3435363562
0x355	0x363030
0x385	0x30313630323038
0x3f9	0x31303631303231
0x42b	0x383230
0x447	0x383135
0x477	0x31363832303139
0x481	0x353035
0x491	0x363030
0x49d	0x363030
0x4a6	0x66313638313536
0x4af	0x363030
0x4d3	0x363030
0x503	0x30313630323038
0x577	0x31303631303231
0x5a9	0x363030
0x5b4	0x3036
0x5bb	0x3033
0x5ca	0x623537363030
0x5d4	0x64356236303031
0x5de	0x3036
0x5e5	0x3033
0x620	0x64356236303031
0x62a	0x3036
0x631	0x3033
0x66c	0x64356235303630
0x678	0x3036
0x67f	0x3033
0x6f0	0x65356238323630
0x6fc	0x3036
0x703	0x3033
0x710	0x3036
0x717	0x3033
0x71d	0x64646632353261
0x725	0x3162653263
0x72d	0x363963
0x732	0x303638
0x736	0x63333738646161
0x741	0x613766
0x748	0x34613131
0x750	0x35356134646635
0x75a	0x336566
0x780	0x3335
0x78c	0x3136
0x793	0x3761
0x7a0	0x3035
0x7a3	0x6465396231
0x7ab	0x353338663732
0x7b2	0x3064393666
0x7ba	0x33336536343463
0x7c2	0x633536326432
0x7ca	0x30323664
0x7cf	0x32393062646638
0x7d7	0x3830653761
0x7dd	0x303032
