0x12	0x36353736336666
0x1a	0x66666666663630
0x22	0x303630303230
0x29	0x3630
0x39	0x613266343831
0x46	0x62353738303633
0x50	0x64646530333134
0x67	0x613762333134
0x72	0x3335
0x7f	0x6464313436
0x88	0x3335373830
0x92	0x383732
0x96	0x6431343631
0x9e	0x32353738303633
0xa8	0x66626130343134
0xbd	0x666137396433
0xd5	0x65353637
0xea	0x383739663331
0xf7	0x353738
0xff	0x3362
0x103	0x343231343631
0x10d	0x3537
0x118	0x34316131
0x12c	0x3038
0x147	0x31343631
0x157	0x363435
0x15d	0x313436
0x16d	0x6135636235
0x173	0x313436
0x17b	0x35373830363339
0x185	0x30636466
0x190	0x38353738
0x19a	0x3839623431
0x1a6	0x31353738303633
0x1ae	0x3039
0x1b1	0x63613933
0x1bd	0x353738303633
0x1c4	0x3930
0x1c9	0x62623134
0x1da	0x6436326564
0x1e1	0x313436313034
0x1e8	0x39353735
0x1ed	0x363130
0x1f7	0x333436
0x20e	0x3036
0x215	0x3033
0x224	0x61353635623030
0x22d	0x333436
0x247	0x363034
0x293	0x383035
0x2b1	0x31393930393230
0x2d3	0x353035
0x2e9	0x31363830313536
0x315	0x3033
0x32b	0x353039
0x344	0x33356233343631
0x356	0x663630
0x35e	0x3036
0x365	0x3033
0x37a	0x64353635
0x37f	0x363034
0x3a4	0x33356233343631
0x3b6	0x303631303633
0x3c1	0x363034
0x3e2	0x33356233343631
0x3f4	0x663630
0x3fc	0x3036
0x403	0x3033
0x425	0x353635623630
0x44e	0x33356233343631
0x467	0x353635
0x46b	0x303035
0x46f	0x333436
0x47e	0x663631
0x485	0x35363562363034
0x4ae	0x33356233343631
0x4c6	0x6635
0x4cb	0x363034
0x4d6	0x66393039323136
0x4f4	0x33356233343631
0x506	0x303631303862
0x511	0x363034
0x532	0x33356233343631
0x54a	0x653536
0x54f	0x363034
0x59b	0x383035
0x5b9	0x31393930393230
0x5db	0x353035
0x5f1	0x31363830313536
0x61d	0x3033
0x633	0x353039
0x64c	0x33356233343631
0x665	0x353635
0x669	0x303035
0x66d	0x333436
