0x15	0x6435	320
0x341	0x3535	320
0x4f2	0x39353738303633	320
0x4f2	0x64356236313032	320
0x4f2	0x63333738646161	320
0x4f2	0x31303631303962	320
0x4f2	0x356130336631	320
0x4f2	0x64356236303031	320
0xf41	0x3535	320
0x1345	0x39353738303633	2147483647
0x1345	0x64356236313032	2147483647
0x1345	0x63333738646161	2147483647
0x1345	0x31303631303962	2147483647
0x1345	0x356130336631	2147483647
0x1345	0x64356236303031	2147483647
0x1639	0x323135	320
0x1ac0	0x36323739	320
0x1eb0	0x3761	320
0x106	0x39353738303633	320
0x106	0x64356236313032	320
0x106	0x63333738646161	320
0x106	0x31303631303962	320
0x106	0x356130336631	320
0x106	0x64356236303031	320
0x1212	0x39353738303633	320
0x1212	0x64356236313032	320
0x1212	0x63333738646161	320
0x1212	0x31303631303962	320
0x1212	0x356130336631	320
0x1212	0x64356236303031	320
0x17f6	0x39353738303633	320
0x17f6	0x64356236313032	320
0x17f6	0x63333738646161	320
0x17f6	0x31303631303962	320
0x17f6	0x356130336631	320
0x17f6	0x64356236303031	320
0x1d64	0x39353738303633	320
0x1d64	0x64356236313032	320
0x1d64	0x63333738646161	320
0x1d64	0x31303631303962	320
0x1d64	0x356130336631	320
0x1d64	0x64356236303031	320
0x1d86	0x39353738303633	320
0x1d86	0x64356236313032	320
0x1d86	0x63333738646161	320
0x1d86	0x31303631303962	320
0x1d86	0x356130336631	320
0x1d86	0x64356236303031	320
0x1eec	0x3535	63
0x1eec	0x3434	320
0x1efb	0x39353738303633	909127730
0x1efb	0x64356236313032	909127730
0x1efb	0x63333738646161	909127730
0x1efb	0x31303631303962	909127730
0x1efb	0x36323739	2147350776
0x1efb	0x356130336631	909127730
0x1efb	0x64356236303031	909127730
0x1efb	0x36303032	2147483647
