0x16	0x363537363030
0x21	0x30313030
0x62	0x66666666666666
0x72	0x64646530333134
0x7e	0x623537383036
0x89	0x613762333134
0xa1	0x6464313436
0xaa	0x3335373830
0xb4	0x383732
0xb8	0x6431343631
0xc0	0x63353738303633
0xcb	0x65353637
0xdf	0x616166383662
0xec	0x3435
0xf6	0x3038
0x102	0x64353738
0x10c	0x613530
0x119	0x3537
0x121	0x6135636235
0x127	0x313436
0x12f	0x35373830363339
0x138	0x3839623431
0x14c	0x3930
0x151	0x62623134
0x162	0x61653963
0x167	0x3531
0x171	0x35373830
0x178	0x3465653164
0x18e	0x6333396430
0x195	0x3134363130
0x19d	0x353738303633
0x1a4	0x6436326564
0x1ab	0x313436313035
0x1b2	0x383537
0x1ba	0x32666465333862
0x1cd	0x363030
0x1d4	0x64356233343135
0x1e0	0x36353736303030
0x1ea	0x64356236313030
0x1f2	0x65363130363564
0x1fd	0x363034
0x247	0x383338
0x255	0x353738303832
0x27d	0x353035
0x295	0x31363830313536
0x2a1	0x353738
0x2c1	0x3033
0x2d7	0x353039
0x2f0	0x33356233343135
0x306	0x64356236313031
0x30e	0x393630
0x31c	0x66666666666666
0x324	0x66666666666666
0x32c	0x66666666666666
0x334	0x66666666666666
0x33c	0x66666666666666
0x36e	0x62353635623630
0x3a4	0x33356233343135
0x3b0	0x6535373630
0x3ba	0x64356236313031
0x3c2	0x363631303765
0x3c9	0x3536356236
0x3f6	0x33356233343135
0x40c	0x64356236313032
0x415	0x363030
0x422	0x66666666666666
0x42a	0x66666666666666
0x432	0x66666666666666
0x43a	0x66666666666666
0x442	0x66666666666666
0x460	0x66666666666666
0x468	0x66666666666666
0x470	0x66666666666666
0x478	0x66666666666666
0x480	0x66666666666666
0x4b7	0x363034
0x4e8	0x33356233343135
0x4fe	0x64356236313032
0x50b	0x6533
0x511	0x363034
0x51e	0x66313636306666
0x546	0x33356233343135
0x552	0x6635
0x55c	0x64356236313032
0x564	0x373631
0x569	0x6636
0x56f	0x363034
0x598	0x33356233343135
0x5a4	0x3835373630
0x5ae	0x64356236313033
0x5c4	0x66666666666666
0x5cc	0x66666666666666
0x5d4	0x66666666666666
0x5dc	0x66666666666666
0x5e4	0x66666666666666
0x603	0x6663
0x609	0x363034
0x632	0x33356233343135
0x648	0x64356236313033
0x651	0x3631306234
0x65b	0x303035
0x65f	0x333431
0x669	0x3537
0x672	0x64356236313033
0x67f	0x65343536
0x685	0x363034
0x692	0x66666666666666
0x69a	0x66666666666666
0x6a2	0x66666666666666
0x6aa	0x66666666666666
0x6b2	0x66666666666666
0x6be	0x66666666666666
0x6c6	0x66666666666666
0x6ce	0x66666666666666
0x6d6	0x66666666666666
0x6de	0x66666666666666
0x706	0x33356233343135
0x713	0x35373630303038
0x71c	0x64356236313033
0x729	0x3039353635
0x72f	0x363034
0x779	0x383338
0x786	0x3735373830
0x7aa	0x633536
0x7af	0x353035
0x7c7	0x31363830313536
0x7f3	0x3033
0x809	0x353039
0x822	0x33356233343135
0x82f	0x3537363030
0x838	0x64356236313034
0x84e	0x66666666666666
0x856	0x66666666666666
0x85e	0x66666666666666
0x866	0x66666666666666
0x86e	0x66666666666666
0x89f	0x6137353635
0x8a5	0x363034
0x8d6	0x33356233343135
0x8ec	0x64356236313034
0x8f4	0x663630303438
0x902	0x66666666666666
0x90a	0x66666666666666
0x912	0x66666666666666
0x91a	0x66666666666666
0x922	0x66666666666666
0x973	0x30313630323038
0x9d9	0x34323536356236
0xa10	0x33356233343135
0xa26	0x64356236313035
0xa2f	0x36313131
0xa35	0x35363562
0xa46	0x66666666666666
