0x131	0x3535	320
0x2ac	0x66666666666666	320
0x2ac	0x64356236313031	320
0x2ac	0x6436313062	320
0x2ac	0x64356236303030	320
0x2ac	0x33656464393065	320
0x2ac	0x373336363635	320
0x2ac	0x66303231393136	320
0x2ac	0x3062373763	320
0x5b6	0x66666666666666	320
0x5b6	0x64356236313031	320
0x5b6	0x6436313062	320
0x5b6	0x64356236303030	320
0x5b6	0x33656464393065	320
0x5b6	0x373336363635	320
0x5b6	0x66303231393136	320
0x5b6	0x3062373763	320
0x7c2	0x66666666666666	320
0x7c2	0x64356236313031	320
0x7c2	0x6436313062	320
0x7c2	0x64356236303030	320
0x7c2	0x33656464393065	320
0x7c2	0x373336363635	320
0x7c2	0x66303231393136	320
0x7c2	0x3062373763	320
0x92f	0x66666666666666	2147483647
0x92f	0x64356236313031	2147483647
0x92f	0x6436313062	2147483647
0x92f	0x64356236303030	2147483647
0x92f	0x33656464393065	2147483647
0x92f	0x373336363635	2147483647
0x92f	0x66303231393136	2147483647
0x92f	0x3062373763	2147483647
0x930	0x66666666666666	2147483647
0x930	0x64356236313031	2147483647
0x930	0x6436313062	2147483647
0x930	0x64356236303030	2147483647
0x930	0x33656464393065	2147483647
0x930	0x373336363635	2147483647
0x930	0x66303231393136	2147483647
0x930	0x3062373763	2147483647
0x931	0x66666666666666	320
0x931	0x64356236313031	320
0x931	0x6436313062	320
0x931	0x64356236303030	320
0x931	0x33656464393065	320
0x931	0x373336363635	320
0x931	0x66303231393136	320
0x931	0x3062373763	320
0x947	0x333338	320
0x1126	0x66666666666666	320
0x1126	0x64356236313031	320
0x1126	0x6436313062	320
0x1126	0x64356236303030	320
0x1126	0x33656464393065	320
0x1126	0x373336363635	320
0x1126	0x66303231393136	320
0x1126	0x3062373763	320
0x11de	0x66666666666666	320
0x11de	0x64356236313031	320
0x11de	0x6436313062	320
0x11de	0x64356236303030	320
0x11de	0x33656464393065	320
0x11de	0x373336363635	320
0x11de	0x66303231393136	320
0x11de	0x3062373763	320
0x12b6	0x35333735	320
0x16af	0x356335	320
0x17eb	0x666135	320
0x1894	0x3761	320
0x31e	0x66666666666666	320
0x31e	0x64356236313031	320
0x31e	0x6436313062	320
0x31e	0x64356236303030	320
0x31e	0x33656464393065	320
0x31e	0x373336363635	320
0x31e	0x66303231393136	320
0x31e	0x3062373763	320
0x108c	0x3031	320
0x16dc	0x66666666666666	320
0x16dc	0x64356236313031	320
0x16dc	0x6436313062	320
0x16dc	0x64356236303030	320
0x16dc	0x33656464393065	320
0x16dc	0x373336363635	320
0x16dc	0x66303231393136	320
0x16dc	0x3062373763	320
0x18db	0x66666666666666	320
0x18db	0x64356236313031	320
0x18db	0x6436313062	320
0x18db	0x64356236303030	320
0x18db	0x33656464393065	320
0x18db	0x373336363635	320
0x18db	0x66303231393136	320
0x18db	0x3062373763	320
