0x1d	0x30313030
0x5e	0x66666666666666
0x6e	0x65666461373134
0x7b	0x353738
0x84	0x64646530333134
0x9b	0x613762333134
0xa6	0x363537383036
0xb3	0x6464313436
0xc6	0x383732
0xca	0x6431343631
0xdd	0x65353637
0xe8	0x323537383036
0xf5	0x36383134
0x107	0x373530
0x115	0x35373830
0x11e	0x3038
0x134	0x36353036
0x140	0x32353738
0x14a	0x63363739
0x165	0x313436
0x16d	0x353738303633
0x175	0x6135636235
0x17b	0x313436
0x18c	0x3839623431
0x198	0x6335373830
0x1a0	0x3666
0x1a4	0x6533
0x1a7	0x3134
0x1af	0x353738
0x1b6	0x3930
0x1bb	0x62623134
0x1cc	0x343134
0x1d0	0x3462363134
0x1da	0x373537
0x1e2	0x61653963
0x1e7	0x3531
0x1f8	0x6436326564
0x1ff	0x313436313036
0x206	0x3535
0x20e	0x343834396233
0x224	0x373234353239
0x22b	0x31343631
0x23a	0x32666465333862
0x24d	0x363030
0x254	0x64356233343135
0x26a	0x64356236313031
0x2a6	0x313536
0x2ab	0x303035
0x2af	0x333431
0x2c2	0x64356236313031
0x2cb	0x3631
0x2d5	0x363034
0x31f	0x383338
0x32c	0x6235
0x341	0x363032
0x353	0x35363562353035
0x36f	0x31363830313536
0x37a	0x3835373830
0x39b	0x3033
0x3b1	0x353039
0x3ca	0x33356233343135
0x3d6	0x31353736303030
0x3e0	0x64356236313032
0x3f6	0x66666666666666
0x3fe	0x66666666666666
0x406	0x66666666666666
0x40e	0x66666666666666
0x416	0x66666666666666
0x448	0x653536
0x44d	0x363034
0x47e	0x33356233343135
0x48b	0x353736
0x494	0x64356236313032
0x4a3	0x35363562
0x4d0	0x33356233343135
0x4e6	0x64356236313032
0x4ee	0x38363030
0x4fc	0x66666666666666
0x504	0x66666666666666
0x50c	0x66666666666666
0x514	0x66666666666666
0x51c	0x66666666666666
0x53a	0x66666666666666
0x542	0x66666666666666
0x54a	0x66666666666666
0x552	0x66666666666666
0x55a	0x66666666666666
0x591	0x363034
0x5c2	0x33356233343135
0x5ce	0x643537363030
0x5d8	0x64356236313032
0x5e0	0x35363130613830
0x5eb	0x363034
0x5f8	0x66313636306666
0x620	0x33356233343135
0x62d	0x35373630
0x636	0x64356236313033
