0x1e	0x64356235303630
0x31	0x3537363030
0x3c	0x303163383036
0x46	0x63363739
0x52	0x33353738
0x5a	0x3930
0x5f	0x62623131
0x69	0x35373830
0x70	0x3930
0x75	0x62623134
0x7e	0x6335
0x86	0x343134
0x8a	0x3462363134
0x9c	0x61653963
0xa1	0x3531
0xab	0x353738303633
0xb2	0x6436326564
0xb9	0x313436313038
0xc1	0x353738
0xc8	0x373234353239
0xcf	0x31343631
0xd6	0x333537383036
0xde	0x32666465333862
0xf5	0x3536356238
0x100	0x63363739
0x118	0x62353931
0x122	0x38353738303633
0x12b	0x6135636235
0x131	0x313436
0x141	0x33326435396231
0x14f	0x35373830
0x158	0x3839623431
0x165	0x353738303633
0x16c	0x3338
0x171	0x66663134363130
0x17a	0x31353736313031
0x183	0x3536356238
0x18d	0x34626138336131
0x1a3	0x34626138336131
0x1bd	0x36383134
0x1c7	0x3537383036
0x1d2	0x3264
0x1e5	0x39373561
0x1ea	0x623134
0x1f3	0x353738303633
0x1fc	0x3038
0x216	0x3631
0x227	0x3536356238
0x232	0x64646530333134
0x249	0x613762333134
0x254	0x3535373830
0x261	0x6464313436
0x26b	0x353738
0x274	0x383732
0x278	0x6431343631
0x28b	0x65353637
0x296	0x6635373562
0x2a2	0x64356236313031
0x2ab	0x3631
0x2b5	0x363034
0x2ff	0x383338
0x30d	0x3537
0x331	0x35363562353035
0x34d	0x31363830313536
0x358	0x37353738
0x379	0x3033
0x38f	0x353039
0x3a8	0x33356236313032
0x3ca	0x623537363030
0x3d4	0x64356238313031
0x3e6	0x66666666666666
0x3ee	0x66666666666666
0x3f6	0x66666666666666
0x3fe	0x66666666666666
0x406	0x66666666666666
0x43d	0x3135
0x443	0x363034
0x474	0x33356236313032
0x481	0x303735
0x487	0x363034
0x4b0	0x33356236313032
0x4b8	0x35363030
0x4d3	0x35373630303038
0x4dc	0x64356238313031
0x4ee	0x66666666666666
0x4f6	0x66666666666666
0x4fe	0x66666666666666
0x506	0x66666666666666
0x50e	0x66666666666666
0x52e	0x66666666666666
0x536	0x66666666666666
0x53e	0x66666666666666
0x546	0x66666666666666
0x54e	0x66666666666666
0x585	0x306435
0x58b	0x363034
0x5bc	0x33356236313032
0x5c4	0x373631306333
0x5cf	0x363034
0x5dc	0x66313636306666
0x604	0x33356236313033
0x60d	0x363130
0x611	0x34373536
0x617	0x303035
0x61b	0x363130
0x644	0x64356238313031
0x66d	0x66313536
0x673	0x363034
0x6a4	0x33356236313034
0x6ad	0x36303034
0x6d0	0x64356238313031
0x70a	0x64356238323031
0x72e	0x64356238303335
0x768	0x613537
0x772	0x64356239313930
0x781	0x30313630323038
0x7d9	0x31393630316638
0x813	0x6661353635
0x819	0x303035
0x81d	0x363130
0x827	0x323535363562
0x85e	0x33356236313034
0x88a	0x64356238313031
0x89c	0x66666666666666
0x8a4	0x66666666666666
0x8ac	0x66666666666666
0x8b4	0x66666666666666
0x8bc	0x66666666666666
0x8df	0x336335363562
0x90e	0x33356236313034
0x91b	0x353435363562
0x925	0x363130
0x92a	0x6536303034
0x944	0x3835
0x94e	0x64356238313031
0x960	0x66666666666666
0x968	0x66666666666666
0x970	0x66666666666666
0x978	0x66666666666666
0x980	0x66666666666666
0x9b7	0x32363536356236
0x9ee	0x33356236313035
0x9fd	0x35363562303035
0xa05	0x363130
0xa0b	0x3631
0xa10	0x613536356236
0xa22	0x66666666666666
0xa2a	0x66666666666666
0xa32	0x66666666666666
0xa3a	0x66666666666666
0xa42	0x66666666666666
0xa4e	0x66666666666666
0xa56	0x66666666666666
0xa5e	0x66666666666666
0xa66	0x66666666666666
0xa6e	0x66666666666666
