0x79	0x3535	320
0x129	0x6635	320
0x1d9	0x3935	320
0x545	0x3735	320
0x545	0x3835	64
0x545	0x3761	276
0xded	0x6133653333	320
0xded	0x66666666666666	320
0xded	0x376433303339	320
0xded	0x66666639323930	320
0xded	0x353635623530	320
0xded	0x33623831636166	320
0xded	0x64373031326132	320
0xded	0x3962383066	320
0xded	0x666462396564	320
0xded	0x61626535636331	320
0xded	0x356236303030	320
0xded	0x64626432363038	320
0xf47	0x3935	64
0xf47	0x3835	320
0x104b	0x363030	320
0x131b	0x6133653333	320
0x131b	0x66666666666666	320
0x131b	0x376433303339	320
0x131b	0x66666639323930	320
0x131b	0x353635623530	320
0x131b	0x33623831636166	320
0x131b	0x64373031326132	320
0x131b	0x3962383066	320
0x131b	0x666462396564	320
0x131b	0x61626535636331	320
0x131b	0x356236303030	320
0x131b	0x64626432363038	320
0x1334	0x6133653333	320
0x1334	0x66666666666666	320
0x1334	0x376433303339	320
0x1334	0x66666639323930	320
0x1334	0x353635623530	320
0x1334	0x33623831636166	320
0x1334	0x64373031326132	320
0x1334	0x3962383066	320
0x1334	0x666462396564	320
0x1334	0x61626535636331	320
0x1334	0x356236303030	320
0x1334	0x64626432363038	320
0x15cc	0x6133653333	320
0x15cc	0x66666666666666	320
0x15cc	0x376433303339	320
0x15cc	0x66666639323930	320
0x15cc	0x353635623530	320
0x15cc	0x33623831636166	320
0x15cc	0x64373031326132	320
0x15cc	0x3962383066	320
0x15cc	0x666462396564	320
0x15cc	0x61626535636331	320
0x15cc	0x356236303030	320
0x15cc	0x64626432363038	320
0x178f	0x636335	320
0x17db	0x6133653333	6697525
0x17db	0x66666666666666	6697525
0x17db	0x376433303339	6697525
0x17db	0x62386138	506319100
0x17db	0x66666639323930	6697525
0x17db	0x353635623530	6697525
0x17db	0x33623831636166	6697525
0x17db	0x64373031326132	6697525
0x17db	0x3962383066	6697525
0x17db	0x666462396564	6697525
0x17db	0x663235	2147483647
0x17db	0x61626535636331	6697525
0x17db	0x356236303030	6697525
0x17db	0x64626432363038	6697525
0x17db	0x35323636	1261698046
0x2347	0x3935	64
0x2347	0x3835	320
0x2518	0x3835	108
0x2518	0x3761	320
0x57	0x3039	320
0x57	0x3163	22
0xc5	0x306537	320
0x1ce	0x6133653333	320
0x1ce	0x66666666666666	320
0x1ce	0x376433303339	320
0x1ce	0x66666639323930	320
0x1ce	0x353635623530	320
0x1ce	0x33623831636166	320
0x1ce	0x64373031326132	320
0x1ce	0x3962383066	320
0x1ce	0x666462396564	320
0x1ce	0x61626535636331	320
0x1ce	0x356236303030	320
0x1ce	0x64626432363038	320
0x25e	0x3039	314
0x25e	0x3033	320
0x25e	0x3163	16
0xa2a	0x3039	314
0xa2a	0x3033	320
0xa2a	0x3163	16
0xbce	0x3039	314
0xbce	0x3033	320
0xbce	0x3163	16
0xc1e	0x3039	314
0xc1e	0x3033	320
0xc1e	0x3163	16
0xd00	0x3039	314
0xd00	0x3033	320
0xd00	0x3163	16
0xd4e	0x3039	314
0xd4e	0x3033	320
0xd4e	0x3163	16
0xe06	0x626462	320
0xe34	0x3039	314
0xe34	0x3033	320
0xe34	0x3163	16
0xe8c	0x3039	314
0xe8c	0x3033	320
0xe8c	0x3163	16
0xf00	0x3039	314
0xf00	0x3033	320
0xf00	0x3163	16
0xf9f	0x62386138	320
0xff4	0x3039	314
0xff4	0x3033	320
0xff4	0x3163	16
0x1080	0x3039	314
0x1080	0x3033	320
0x1080	0x3163	16
0x117c	0x6133653333	2147483647
0x117c	0x66666666666666	2147483647
0x117c	0x376433303339	2147483647
0x117c	0x66666639323930	2147483647
0x117c	0x353635623530	2147483647
0x117c	0x33623831636166	2147483647
0x117c	0x64373031326132	2147483647
0x117c	0x3962383066	2147483647
0x117c	0x666462396564	2147483647
0x117c	0x61626535636331	2147483647
0x117c	0x356236303030	2147483647
0x117c	0x64626432363038	2147483647
0x11c2	0x3039	314
0x11c2	0x3033	320
0x11c2	0x3163	16
0x121a	0x3039	314
0x121a	0x3033	320
0x121a	0x3163	16
0x12c4	0x3039	314
0x12c4	0x3033	320
0x12c4	0x3163	16
0x1340	0x6133653333	2147483647
0x1340	0x66666666666666	2147483647
0x1340	0x376433303339	2147483647
0x1340	0x66666639323930	2147483647
0x1340	0x353635623530	2147483647
0x1340	0x33623831636166	2147483647
0x1340	0x64373031326132	2147483647
0x1340	0x3962383066	2147483647
0x1340	0x666462396564	2147483647
0x1340	0x61626535636331	2147483647
0x1340	0x356236303030	2147483647
0x1340	0x64626432363038	2147483647
0x137e	0x3039	314
0x137e	0x3033	320
0x137e	0x3163	16
0x13e4	0x3039	314
0x13e4	0x3033	320
0x13e4	0x3163	16
0x1414	0x3039	314
0x1414	0x3033	320
0x1414	0x3163	16
0x1477	0x3163	320
0x1478	0x643332	320
0x1480	0x6133653333	2147483647
0x1480	0x66666666666666	2147483647
0x1480	0x376433303339	2147483647
0x1480	0x66666639323930	2147483647
0x1480	0x353635623530	2147483647
0x1480	0x33623831636166	2147483647
0x1480	0x64373031326132	2147483647
0x1480	0x3962383066	2147483647
0x1480	0x666462396564	2147483647
0x1480	0x61626535636331	2147483647
0x1480	0x356236303030	2147483647
0x1480	0x64626432363038	2147483647
0x1492	0x3039	314
0x1492	0x3033	320
0x1492	0x3163	16
0x14b2	0x3039	314
0x14b2	0x3033	320
0x14b2	0x3163	16
0x151e	0x6133653333	320
0x151e	0x66666666666666	320
0x151e	0x376433303339	320
0x151e	0x66666639323930	320
0x151e	0x353635623530	320
0x151e	0x33623831636166	320
0x151e	0x64373031326132	320
0x151e	0x3962383066	320
0x151e	0x666462396564	320
0x151e	0x61626535636331	320
0x151e	0x356236303030	320
0x151e	0x64626432363038	320
0x153a	0x3039	314
0x153a	0x3033	320
0x153a	0x3163	16
0x1562	0x3039	314
0x1562	0x3033	320
0x1562	0x3163	16
0x15d8	0x6133653333	2147483647
0x15d8	0x66666666666666	2147483647
0x15d8	0x376433303339	2147483647
0x15d8	0x66666639323930	2147483647
0x15d8	0x353635623530	2147483647
0x15d8	0x33623831636166	2147483647
0x15d8	0x64373031326132	2147483647
0x15d8	0x3962383066	2147483647
0x15d8	0x666462396564	2147483647
0x15d8	0x61626535636331	2147483647
0x15d8	0x356236303030	2147483647
0x15d8	0x64626432363038	2147483647
0x1604	0x3039	314
0x1604	0x3033	320
0x1604	0x3163	16
0x1663	0x3163	320
0x1664	0x643332	320
0x166c	0x6133653333	2147483647
0x166c	0x66666666666666	2147483647
0x166c	0x376433303339	2147483647
0x166c	0x66666639323930	2147483647
0x166c	0x353635623530	2147483647
0x166c	0x33623831636166	2147483647
0x166c	0x64373031326132	2147483647
0x166c	0x3962383066	2147483647
0x166c	0x666462396564	2147483647
0x166c	0x61626535636331	2147483647
0x166c	0x356236303030	2147483647
0x166c	0x64626432363038	2147483647
0x169a	0x3039	314
0x169a	0x3033	320
0x169a	0x3163	16
0x1710	0x3039	314
0x1710	0x3033	320
0x1710	0x3163	16
0x172b	0x363030	320
0x177c	0x3039	314
0x177c	0x3033	320
0x177c	0x3163	16
0x182b	0x6133653333	825778737
0x182b	0x66666666666666	825778737
0x182b	0x376433303339	825778737
