0x311	0x3235	320
0x4da	0x66666666666666	320
0x4da	0x353738303633	320
0x4da	0x64356236313031	320
0x4da	0x64356236313032	320
0x4da	0x64356236313035	320
0x4da	0x31303631303830	320
0x4da	0x64356236303030	320
0x4da	0x63333738646161	320
0x4da	0x6237356433	320
0x4da	0x3431323133	320
0xad8	0x66666666666666	320
0xad8	0x353738303633	320
0xad8	0x64356236313031	320
0xad8	0x64356236313032	320
0xad8	0x64356236313035	320
0xad8	0x31303631303830	320
0xad8	0x64356236303030	320
0xad8	0x63333738646161	320
0xad8	0x6237356433	320
0xad8	0x3431323133	320
0xfe5	0x66666666666666	320
0xfe5	0x353738303633	320
0xfe5	0x64356236313031	320
0xfe5	0x64356236313032	320
0xfe5	0x64356236313035	320
0xfe5	0x31303631303830	320
0xfe5	0x64356236303030	320
0xfe5	0x63333738646161	320
0xfe5	0x6237356433	320
0xfe5	0x3431323133	320
0x1b36	0x66666666666666	320
0x1b36	0x353738303633	320
0x1b36	0x64356236313031	320
0x1b36	0x64356236313032	320
0x1b36	0x64356236313035	320
0x1b36	0x31303631303830	320
0x1b36	0x64356236303030	320
0x1b36	0x63333738646161	320
0x1b36	0x6237356433	320
0x1b36	0x3431323133	320
0x1cee	0x66666666666666	320
0x1cee	0x353738303633	320
0x1cee	0x64356236313031	320
0x1cee	0x64356236313032	320
0x1cee	0x64356236313035	320
0x1cee	0x31303631303830	320
0x1cee	0x64356236303030	320
0x1cee	0x63333738646161	320
0x1cee	0x6237356433	320
0x1cee	0x3431323133	320
0x1e05	0x363030	320
0x1e05	0x363130	64
0x220b	0x66666666666666	6435896
0x220b	0x64656534	469552899
0x220b	0x353738303633	6435896
0x220b	0x64356236313031	6435896
0x220b	0x64356236313032	6435896
0x220b	0x64356236313035	6435896
0x220b	0x31303631303830	6435896
0x220b	0x64356236303030	6435896
0x220b	0x63333738646161	6435896
0x220b	0x623438	2147483647
0x220b	0x31656530	1325190919
0x220b	0x6237356433	6435896
0x220b	0x3431323133	6435896
0x241e	0x66666666666666	320
0x241e	0x353738303633	320
0x241e	0x64356236313031	320
0x241e	0x64356236313032	320
0x241e	0x64356236313035	320
0x241e	0x31303631303830	320
0x241e	0x64356236303030	320
0x241e	0x63333738646161	320
0x241e	0x6237356433	320
0x241e	0x3431323133	320
0x2d4f	0x6335	320
0x3ad0	0x3761	320
0x8d	0x64656534	320
0x1d0	0x66666666666666	320
0x1d0	0x353738303633	320
