0x16	0x6235373630
0x21	0x30313030
0x62	0x66666666666666
0x72	0x64646530333134
0x7e	0x303537383036
0x89	0x613762333134
0xa1	0x6464313436
0xaa	0x3535373830
0xb4	0x383732
0xb8	0x6431343631
0xcb	0x65353637
0xe0	0x3038
0xec	0x363537
0xf6	0x613530
0x103	0x3537383036
0x10b	0x6135636235
0x111	0x313436
0x122	0x3839623431
0x12f	0x353738
0x136	0x3930
0x13b	0x62623134
0x145	0x353738
0x14c	0x61653963
0x151	0x3531
0x162	0x3465653164
0x171	0x353738
0x178	0x6333396430
0x17f	0x3134363130
0x18e	0x6436326564
0x195	0x313436313035
0x19c	0x3735373830
0x1a4	0x32666465333862
0x1b3	0x353735623630
0x1be	0x64356233343830
0x1cc	0x633537363030
0x1d6	0x64356235303631
0x1e0	0x35363130363931
0x1eb	0x363034
0x235	0x383338
0x267	0x3536
0x26b	0x353035
0x283	0x31363830313536
0x2af	0x3033
0x2c5	0x353039
0x2de	0x33356233343830
0x2ed	0x35373630
0x2f6	0x64356235303631
0x300	0x623630
0x31a	0x66666666666666
0x322	0x66666666666666
0x32a	0x66666666666666
0x332	0x66666666666666
0x33a	0x66666666666666
0x373	0x35363562363034
0x3a8	0x33356233343830
0x3b6	0x313537363030
0x3c0	0x64356235303631
0x3ca	0x613631303832
0x3d5	0x363034
0x3fe	0x33356233343830
0x40d	0x35373630
0x416	0x64356235303631
0x421	0x363030
0x43a	0x66666666666666
0x442	0x66666666666666
0x44a	0x66666666666666
0x452	0x66666666666666
0x45a	0x66666666666666
0x47a	0x66666666666666
0x482	0x66666666666666
0x48a	0x66666666666666
0x492	0x66666666666666
0x49a	0x66666666666666
0x4d3	0x35363562
0x508	0x33356233343830
0x520	0x64356235303631
0x52b	0x3631
0x52f	0x323735
0x535	0x363034
0x542	0x66313636306666
0x56a	0x33356233343830
0x578	0x32353736
0x582	0x64356235303631
0x58c	0x37363030343830
0x5a6	0x66666666666666
0x5ae	0x66666666666666
0x5b6	0x66666666666666
0x5be	0x66666666666666
0x5c6	0x66666666666666
0x5e9	0x336135
0x5ef	0x363034
0x618	0x33356233343830
0x630	0x64356235303631
0x63f	0x383335
0x645	0x303035
0x649	0x333438
0x65e	0x64356235303631
0x66d	0x3232353635
0x673	0x363034
0x680	0x66666666666666
0x688	0x66666666666666
0x690	0x66666666666666
0x698	0x66666666666666
0x6a0	0x66666666666666
0x6ac	0x66666666666666
0x6b4	0x66666666666666
0x6bc	0x66666666666666
0x6c4	0x66666666666666
0x6cc	0x66666666666666
0x6f4	0x33356233343830
0x70c	0x64356235303631
0x71b	0x3437353635
0x721	0x363034
0x76b	0x383338
0x778	0x3035373830
0x79c	0x353536
0x7a1	0x353035
0x7b9	0x31363830313536
0x7c4	0x64353738303832
0x7e5	0x3033
0x7fb	0x353039
0x814	0x33356233343830
0x82c	0x64356235303631
0x850	0x66666666666666
0x858	0x66666666666666
0x860	0x66666666666666
0x868	0x66666666666666
0x870	0x66666666666666
0x8a7	0x6535353635
0x8ad	0x363034
0x8de	0x33356233343830
0x8ed	0x35373630
0x8f6	0x64356235303631
0x91a	0x66666666666666
0x922	0x66666666666666
0x92a	0x66666666666666
0x932	0x66666666666666
0x93a	0x66666666666666
0x98f	0x30313630323038
0x9fd	0x38303536356236
0xa34	0x33356233343830
0xa4c	0x64356235303631
0xa5c	0x66353635
0xa61	0x363034
0xa6e	0x66666666666666
0xa76	0x66666666666666
0xa7e	0x66666666666666
0xa86	0x66666666666666
0xa8e	0x66666666666666
0xa9a	0x66666666666666
0xaa2	0x66666666666666
0xaaa	0x66666666666666
