0xc3	0x3535	320
0x195	0x356665	320
0x1f7	0x66666666666666	25909
0x1f7	0x356665	2144009935
0x1f7	0x6535	2147483647
0x1f7	0x31353738303633	25909
0x1f7	0x353738303633	25909
0x1f7	0x393861	2143759571
0x1f7	0x343635	2144087807
0x1f7	0x376635	2143878911
0x1f7	0x643435	2140942591
0x1f7	0x363030	2143958276
0x1f7	0x64356236313036	25909
0x1f7	0x64356236313037	25909
0x1f7	0x64356236313061	25909
0x1f7	0x64356236313062	25909
0x1f7	0x353135	2144023551
0x1f7	0x386135	2143814655
0x1f7	0x646635	2140929791
0x1f7	0x386264	2143814352
0x1f7	0x3035386630	25909
0x1f7	0x393235	2143761151
0x1f7	0x66303231393136	25909
0x1f7	0x64356236303030	25909
0x1f7	0x353766653562	25909
0x1f7	0x63333738646161	25909
0x1f7	0x30343537	1338781693
0x1f7	0x353138	2144023548
0x1f7	0x30613235	1335833343
0x1f7	0x313435	2144284927
0x1f7	0x373135	2143892479
0x1f7	0x383035	2143827199
0x1f7	0x396335	2143748607
0x1f7	0x623235	2141074175
0x1f7	0x633535	2141007871
0x1f7	0x653135	2140877823
0x1f7	0x33343338	1288450556
0x1f7	0x323464373138	25909
0x1f7	0x656333633031	25909
0x1f7	0x33333536	1288515582
0x1f7	0x34613631	1268723459
0x1f7	0x64356236313239	25909
0x1f7	0x333235	2144154367
0x1f7	0x653535	2140876799
0x1f7	0x663835	2140810495
0x1f7	0x64356236313265	25909
0x1f7	0x64316664	466550480
0x1f7	0x626237	2141061885
0x291	0x6335	320
0x357	0x343635	320
0x36d	0x376635	320
0x383	0x643435	320
0xf45	0x3735	320
0xf45	0x3761	276
0x1699	0x353135	320
0x1699	0x353138	317
0x16a8	0x66666666666666	320
0x16a8	0x31353738303633	320
0x16a8	0x353738303633	320
0x16a8	0x64356236313036	320
0x16a8	0x64356236313037	320
0x16a8	0x64356236313061	320
0x16a8	0x64356236313062	320
0x16a8	0x3035386630	320
0x16a8	0x66303231393136	320
0x16a8	0x64356236303030	320
0x16a8	0x353766653562	320
0x16a8	0x63333738646161	320
0x16a8	0x323464373138	320
0x16a8	0x656333633031	320
0x16a8	0x64356236313239	320
0x16a8	0x64356236313265	320
0x170b	0x386135	320
0x170b	0x386264	17
0x17b5	0x646635	320
0x197c	0x66666666666666	2147483647
0x197c	0x31353738303633	2147483647
0x197c	0x353738303633	2147483647
0x197c	0x64356236313036	2147483647
0x197c	0x64356236313037	2147483647
0x197c	0x64356236313061	2147483647
0x197c	0x64356236313062	2147483647
0x197c	0x3035386630	2147483647
0x197c	0x66303231393136	2147483647
0x197c	0x64356236303030	2147483647
0x197c	0x353766653562	2147483647
0x197c	0x63333738646161	2147483647
0x197c	0x323464373138	2147483647
0x197c	0x656333633031	2147483647
0x197c	0x64356236313239	2147483647
0x197c	0x64356236313265	2147483647
0x2153	0x6335	64
0x2153	0x6235	320
0x25fc	0x66666666666666	320
0x25fc	0x31353738303633	320
0x25fc	0x353738303633	320
0x25fc	0x64356236313036	320
0x25fc	0x64356236313037	320
0x25fc	0x64356236313061	320
0x25fc	0x64356236313062	320
0x25fc	0x3035386630	320
0x25fc	0x66303231393136	320
0x25fc	0x64356236303030	320
0x25fc	0x353766653562	320
0x25fc	0x63333738646161	320
0x25fc	0x323464373138	320
0x25fc	0x656333633031	320
0x25fc	0x64356236313239	320
0x25fc	0x64356236313265	320
0x2ee3	0x66666666666666	320
0x2ee3	0x31353738303633	320
0x2ee3	0x353738303633	320
0x2ee3	0x64356236313036	320
0x2ee3	0x64356236313037	320
0x2ee3	0x64356236313061	320
0x2ee3	0x64356236313062	320
0x2ee3	0x3035386630	320
0x2ee3	0x66303231393136	320
0x2ee3	0x64356236303030	320
0x2ee3	0x353766653562	320
0x2ee3	0x63333738646161	320
0x2ee3	0x323464373138	320
0x2ee3	0x656333633031	320
0x2ee3	0x64356236313239	320
0x2ee3	0x64356236313265	320
0x349f	0x66666666666666	811676213
0x349f	0x31353738303633	811676213
0x349f	0x353738303633	811676213
0x349f	0x64356236313036	811676213
0x349f	0x64356236313037	811676213
0x349f	0x64356236313061	811676213
0x349f	0x64356236313062	811676213
0x349f	0x3035386630	811676213
0x349f	0x66303231393136	811676213
0x349f	0x64356236303030	811676213
0x349f	0x353766653562	811676213
0x349f	0x63333738646161	811676213
0x349f	0x30613235	2147483647
0x349f	0x33343338	2100100860
0x349f	0x323464373138	811676213
0x349f	0x656333633031	811676213
0x349f	0x33333536	2100165886
0x349f	0x34613631	2080373763
0x349f	0x64356236313239	811676213
0x349f	0x64356236313265	811676213
0x349f	0x64316664	1278200784
0x361f	0x313435	320
0x36d9	0x373135	320
0x36f7	0x383035	320
0x372f	0x396335	320
0x375b	0x623235	320
0x3781	0x633535	320
0x37b9	0x653135	320
0x3913	0x33343338	320
0x4435	0x66666666666666	2147483647
0x4435	0x31353738303633	2147483647
0x4435	0x353738303633	2147483647
0x4435	0x64356236313036	2147483647
0x4435	0x64356236313037	2147483647
0x4435	0x64356236313061	2147483647
0x4435	0x64356236313062	2147483647
0x4435	0x3035386630	2147483647
0x4435	0x66303231393136	2147483647
0x4435	0x64356236303030	2147483647
0x4435	0x353766653562	2147483647
0x4435	0x63333738646161	2147483647
0x4435	0x323464373138	2147483647
0x4435	0x656333633031	2147483647
0x4435	0x64356236313239	2147483647
0x4435	0x64356236313265	2147483647
0x4bb8	0x34613631	26168
0x4c52	0x66666666666666	320
0x4c52	0x31353738303633	320
0x4c52	0x353738303633	320
0x4c52	0x64356236313036	320
0x4c52	0x64356236313037	320
0x4c52	0x64356236313061	320
0x4c52	0x64356236313062	320
0x4c52	0x3035386630	320
0x4c52	0x66303231393136	320
0x4c52	0x64356236303030	320
0x4c52	0x353766653562	320
0x4c52	0x63333738646161	320
0x4c52	0x323464373138	320
0x4c52	0x656333633031	320
0x4c52	0x64356236313239	320
0x4c52	0x64356236313265	320
0x5141	0x3535	320
0x52d6	0x66666666666666	320
0x52d6	0x31353738303633	320
0x52d6	0x353738303633	320
0x52d6	0x64356236313036	320
0x52d6	0x64356236313037	320
0x52d6	0x64356236313061	320
0x52d6	0x64356236313062	320
0x52d6	0x3035386630	320
0x52d6	0x66303231393136	320
0x52d6	0x64356236303030	320
0x52d6	0x353766653562	320
0x52d6	0x63333738646161	320
0x52d6	0x323464373138	320
0x52d6	0x656333633031	320
0x52d6	0x64356236313239	320
0x52d6	0x64356236313265	320
0x54e5	0x363030	320
0x565b	0x333235	320
0x570b	0x386135	320
0x570b	0x386264	17
0x57c1	0x653535	320
0x57e7	0x663835	320
0x5bcc	0x66666666666666	320
0x5bcc	0x31353738303633	320
0x5bcc	0x353738303633	320
0x5bcc	0x64356236313036	320
0x5bcc	0x64356236313037	320
0x5bcc	0x64356236313061	320
0x5bcc	0x64356236313062	320
0x5bcc	0x3035386630	320
0x5bcc	0x66303231393136	320
