0x13	0x35373633
0x18	0x66666666666666
0x22	0x303630303230
0x29	0x3630
0x38	0x64646530333831
0x51	0x613762333134
0x5d	0x353738303633
0x69	0x6464313436
0x72	0x65353738
0x7c	0x383732
0x80	0x6431343631
0x88	0x643537383036
0x93	0x65353637
0xab	0x3033313436
0xbd	0x656539363666
0xd3	0x6534636362
0xe0	0x363537383036
0xe9	0x34313264346631
0xf7	0x35373830363336
0x104	0x62313436
0x10d	0x353738303633
0x118	0x3063
0x12c	0x3038
0x144	0x333931
0x158	0x3839623431
0x164	0x663537
0x17b	0x35373830
0x189	0x31343631
0x191	0x3537383036
0x198	0x3930
0x19d	0x62623134
0x1a7	0x353738303633
0x1ae	0x37353266
0x1b3	0x36323134363130
0x1bc	0x653537
0x1c4	0x3765373038
0x1cb	0x3134
0x1d2	0x6435373830
0x1da	0x6436326564
0x1e1	0x313436313034
0x1e8	0x38353738303633
0x1f0	0x656661353937
0x1f7	0x313436
0x1ff	0x3537383036
0x206	0x66656237643735
0x215	0x3537
0x219	0x363130
0x223	0x333436
0x233	0x363130353635
0x23d	0x363034
0x289	0x383035
0x2a7	0x31393930393230
0x2c9	0x353035
0x2df	0x31363830313536
0x30b	0x3033
0x321	0x353039
0x33a	0x33356233343631
0x34c	0x613630
0x354	0x3036
0x35b	0x3033
0x370	0x33353635623630
0x39a	0x33356233343631
0x3ac	0x6236313036
0x3b7	0x363034
0x3d8	0x33356233343631
0x3ea	0x613630
0x3f2	0x3036
0x3f9	0x3033
0x41b	0x35363562363034
0x444	0x33356233343631
0x456	0x6236313037
0x45c	0x3235
0x461	0x363034
0x482	0x33356233343631
0x4a0	0x3835
0x4a5	0x303035
0x4a9	0x333436
0x4e7	0x30313630323038
0x543	0x38393335386230
0x5b7	0x393535
0x5c9	0x303035
0x5cd	0x333436
0x5dc	0x33363130626432
0x5e7	0x363034
0x5f6	0x3036
0x5fd	0x3033
0x61c	0x33356233343631
0x633	0x653135
0x639	0x303035
0x63d	0x333436
0x64c	0x33363130633063
0x657	0x363034
0x666	0x3036
0x66d	0x3033
0x68c	0x33356233343631
0x69e	0x6236313063
0x6a5	0x353635
0x6a9	0x363034
0x6ca	0x33356233343631
0x6dc	0x6236303031
0x6e4	0x3036
0x6eb	0x3033
0x6f9	0x32313536
0x6ff	0x363034
0x720	0x33356233343631
0x733	0x363130633430
0x73d	0x363034
0x75a	0x66313638313532
0x77c	0x33356233343631
0x78f	0x363130633864
0x799	0x363034
0x7e5	0x383035
0x803	0x31393930393230
0x825	0x353035
0x83b	0x31363830313536
0x867	0x3033
0x87d	0x353039
0x896	0x33356233343631
0x8a8	0x613631
0x8ad	0x3162353635
0x8b3	0x363034
0x8d8	0x33356233343631
0x8ea	0x613631
0x8ef	0x3234353635
0x8f5	0x363034
0x91a	0x33356233343631
0x92c	0x613630
0x934	0x3036
0x93b	0x3033
0x94f	0x3261353635
0x955	0x363034
0x97a	0x33356233343631
0x98c	0x6236313064
0x993	0x353635
0x997	0x363034
0x9b8	0x33356233343631
0x9d2	0x3036
0x9d9	0x3033
0x9e7	0x3631353635
0x9ed	0x303035
0x9f1	0x333436
0xa00	0x6236303031
0xa08	0x3036
0xa0f	0x3033
0xa29	0x31663536356236
