0x16	0x35353736
0x21	0x30313030
0x62	0x66666666666666
0x72	0x64646530333134
0x7e	0x61353738
0x89	0x613762333134
0xa1	0x6464313436
0xaa	0x323537
0xb4	0x383732
0xb8	0x6431343631
0xc0	0x6235373830
0xc9	0x66326539646331
0xe1	0x65353637
0xed	0x3537383036
0xf9	0x36383134
0x102	0x6335
0x118	0x66353738
0x122	0x3038
0x138	0x3839623431
0x14c	0x3930
0x151	0x62623134
0x162	0x3733646436
0x171	0x353738303633
0x178	0x6436326564
0x17f	0x313436313034
0x186	0x383537
0x18b	0x363030
0x192	0x64356233343135
0x19e	0x3535373630
0x1a8	0x64356236313030
0x1b0	0x6436313035
0x1bb	0x363034
0x205	0x383338
0x213	0x3537383038
0x23b	0x353035
0x253	0x31363830313536
0x25f	0x3537
0x27f	0x3033
0x295	0x353039
0x2ae	0x33356233343135
0x2c4	0x64356236313031
0x2da	0x66666666666666
0x2e2	0x66666666666666
0x2ea	0x66666666666666
0x2f2	0x66666666666666
0x2fa	0x66666666666666
0x32c	0x32353635
0x331	0x363034
0x362	0x33356233343135
0x36e	0x643537
0x378	0x64356236313031
0x380	0x35363130
0x386	0x343536
0x38b	0x363034
0x3b4	0x33356233343135
0x3c0	0x363537363030
0x3ca	0x64356236313032
0x3d3	0x3630
0x3e0	0x66666666666666
0x3e8	0x66666666666666
0x3f0	0x66666666666666
0x3f8	0x66666666666666
0x400	0x66666666666666
0x41e	0x66666666666666
0x426	0x66666666666666
0x42e	0x66666666666666
0x436	0x66666666666666
0x43e	0x66666666666666
0x470	0x653536
0x475	0x363034
0x4a6	0x33356233343135
0x4b3	0x35373630303038
0x4bc	0x64356236313032
0x4c9	0x3738
0x4cf	0x363034
0x4f8	0x33356233343135
0x50e	0x64356236313032
0x51b	0x3937
0x521	0x363034
0x52e	0x66313636306666
0x556	0x33356233343135
0x562	0x373537
0x56c	0x64356236313032
0x574	0x64363030
0x595	0x6161
0x59b	0x303035
0x59f	0x333431
0x5a8	0x6135373630
0x5b2	0x64356236313033
0x5bb	0x36303034383038
0x5c8	0x66666666666666
0x5d0	0x66666666666666
0x5d8	0x66666666666666
0x5e0	0x66666666666666
0x5e8	0x66666666666666
0x619	0x666335
0x61f	0x363034
0x650	0x33356233343135
0x666	0x64356236313033
0x67c	0x66666666666666
0x684	0x66666666666666
0x68c	0x66666666666666
0x694	0x66666666666666
0x69c	0x66666666666666
0x6bb	0x386435363562
0x6ea	0x33356233343135
0x700	0x64356236313033
0x70d	0x643535363562
0x75d	0x383338
0x76a	0x39353738
0x78e	0x6535
0x793	0x353035
0x7ab	0x31363830313536
0x7b6	0x36353738303832
0x7d7	0x3033
0x7ed	0x353039
0x806	0x33356233343135
0x813	0x35373630303038
0x81c	0x64356236313034
0x832	0x66666666666666
0x83a	0x66666666666666
0x842	0x66666666666666
0x84a	0x66666666666666
0x852	0x66666666666666
0x883	0x37333536356236
0x8ba	0x33356233343135
0x8d0	0x64356236313034
0x8d9	0x363030343830
0x8e6	0x66666666666666
0x8ee	0x66666666666666
0x8f6	0x66666666666666
0x8fe	0x66666666666666
0x906	0x66666666666666
0x93d	0x363034
0x96e	0x33356233343135
0x97a	0x33353736
0x984	0x64356236313035
0x98d	0x363030343830
0x99a	0x66666666666666
0x9a2	0x66666666666666
0x9aa	0x66666666666666
0x9b2	0x66666666666666
0x9ba	0x66666666666666
0x9d8	0x66666666666666
0x9e0	0x66666666666666
0x9e8	0x66666666666666
0x9f0	0x66666666666666
0x9f8	0x66666666666666
0xa19	0x353635623630
0xa46	0x33356236303033
0xa79	0x30313630323038
0xae4	0x613537
