0x19	0x3435	320
0x81	0x3935	320
0x105	0x6635	320
0x28a	0x64356236313031	320
0x28a	0x64356236313032	320
0x28a	0x64356236313033	320
0x28a	0x383839303931	320
0x28a	0x613439303931	320
0x28a	0x63333738646161	320
0x696	0x64356236313031	320
0x696	0x64356236313032	320
0x696	0x64356236313033	320
0x696	0x383839303931	320
0x696	0x613439303931	320
0x696	0x63333738646161	320
0x73b	0x3235	320
0x1d8c	0x3761	320
0x4e0	0x64356236313031	320
0x4e0	0x64356236313032	320
0x4e0	0x64356236313033	320
0x4e0	0x383839303931	320
0x4e0	0x613439303931	320
0x4e0	0x63333738646161	320
0x57f	0x32363130	320
0xd8e	0x64356236313031	320
0xd8e	0x64356236313032	320
0xd8e	0x64356236313033	320
0xd8e	0x383839303931	320
0xd8e	0x613439303931	320
0xd8e	0x63333738646161	320
0xf32	0x64356236313031	320
0xf32	0x64356236313032	320
0xf32	0x64356236313033	320
0xf32	0x383839303931	320
0xf32	0x613439303931	320
0xf32	0x63333738646161	320
0x10d6	0x64356236313031	320
0x10d6	0x64356236313032	320
0x10d6	0x64356236313033	320
0x10d6	0x383839303931	320
0x10d6	0x613439303931	320
0x10d6	0x63333738646161	320
0x11ec	0x64356236313031	320
0x11ec	0x64356236313032	320
0x11ec	0x64356236313033	320
0x11ec	0x383839303931	320
0x11ec	0x613439303931	320
0x11ec	0x63333738646161	320
0x14d8	0x64356236313031	320
0x14d8	0x64356236313032	320
0x14d8	0x64356236313033	320
0x14d8	0x383839303931	320
0x14d8	0x613439303931	320
0x14d8	0x63333738646161	320
0x1602	0x64356236313031	320
0x1602	0x64356236313032	320
0x1602	0x64356236313033	320
0x1602	0x383839303931	320
0x1602	0x613439303931	320
0x1602	0x63333738646161	320
0x1718	0x64356236313031	320
0x1718	0x64356236313032	320
0x1718	0x64356236313033	320
0x1718	0x383839303931	320
0x1718	0x613439303931	320
0x1718	0x63333738646161	320
0x1db7	0x316562	320
