0x1143	0x1143	0x3b1	0x7d	0x1143B0x3b1
0x1143	0x1143	0x8b6	0x266	0x1143B0x8b6
0x1143	0x1143	0xb67	0x2ea	0x1143B0xb67
0x132a	0x131b	0x125d	0x317	0x132aB0x125d
0x131b	0x131b	0x125d	0x317	0x131bB0x125d
0x133d	0x131b	0x125d	0x317	0x133dB0x125d
0x1339	0x131b	0x125d	0x317	0x1339B0x125d
0x1321	0x131b	0x125d	0x317	0x1321B0x125d
0x132a	0x131b	0x1366	0x317	0x132aB0x1366
0x131b	0x131b	0x1366	0x317	0x131bB0x1366
0x133d	0x131b	0x1366	0x317	0x133dB0x1366
0x1339	0x131b	0x1366	0x317	0x1339B0x1366
0x1321	0x131b	0x1366	0x317	0x1321B0x1366
