0x16	0x63353736303030
0x21	0x30313030
0x62	0x66666666666666
0x72	0x64646530333134
0x89	0x613762333134
0x95	0x35373830363331
0xa1	0x6464313436
0xaa	0x393537383036
0xb3	0x62616565
0xb9	0x3134363130
0xca	0x383732
0xce	0x6431343631
0xd7	0x353738
0xe1	0x65353637
0xec	0x343537
0xf9	0x36383134
0x102	0x333537383036
0x10b	0x3561613237
0x119	0x353738303633
0x122	0x3038
0x137	0x6135636235
0x13d	0x313436
0x144	0x30353738
0x14e	0x3839623431
0x163	0x30383630
0x169	0x31343631
0x170	0x3335
0x178	0x3930
0x17d	0x62623134
0x186	0x63353738
0x18e	0x6230653136
0x194	0x31313436313035
0x1a4	0x6436326564
0x1ab	0x313436313035
0x1ba	0x643333386666
0x1c8	0x3435373830
0x1d0	0x32666465333862
0x1de	0x64353738303633
0x1e6	0x63366639343638
0x1f9	0x363030
0x200	0x64356233343135
0x20d	0x35373630
0x216	0x64356236313031
0x225	0x353635
0x229	0x363034
0x273	0x383338
0x2a9	0x353035
0x2c1	0x31363830313536
0x2ed	0x3033
0x303	0x353039
0x31c	0x33356233343135
0x329	0x3537
0x332	0x64356236313031
0x33a	0x66363030
0x348	0x66666666666666
0x350	0x66666666666666
0x358	0x66666666666666
0x360	0x66666666666666
0x368	0x66666666666666
0x39a	0x34353635
0x39f	0x363034
0x3d0	0x33356233343135
0x3dc	0x34353736303030
0x3e6	0x64356236313031
0x3ee	0x63363130383462
0x3f9	0x363034
0x422	0x33356233343135
0x42f	0x3537363030
0x438	0x64356236313032
0x44b	0x363034
0x474	0x33356233343135
0x48a	0x64356236313032
0x493	0x3630
0x4a0	0x66666666666666
0x4a8	0x66666666666666
0x4b0	0x66666666666666
0x4b8	0x66666666666666
0x4c0	0x66666666666666
0x4de	0x66666666666666
0x4e6	0x66666666666666
0x4ee	0x66666666666666
0x4f6	0x66666666666666
0x4fe	0x66666666666666
0x535	0x363034
0x566	0x33356233343135
0x572	0x663537
0x57c	0x64356236313032
0x584	0x37363130
0x58a	0x643536
0x58f	0x363034
0x59c	0x66313636306666
0x5c4	0x33356233343135
0x5d0	0x653537363030
0x5da	0x64356236313033
0x604	0x32353635
0x609	0x363034
0x63a	0x33356233343135
0x650	0x64356236313033
0x65d	0x30383536
0x663	0x363034
0x670	0x66666666666666
0x678	0x66666666666666
0x680	0x66666666666666
0x688	0x66666666666666
0x690	0x66666666666666
0x69c	0x66666666666666
0x6a4	0x66666666666666
0x6ac	0x66666666666666
0x6b4	0x66666666666666
0x6bc	0x66666666666666
0x6e4	0x33356233343135
0x6f1	0x353736303030
0x6fa	0x64356236313033
0x702	0x6136
0x710	0x66666666666666
0x718	0x66666666666666
0x720	0x66666666666666
0x728	0x66666666666666
0x730	0x66666666666666
0x74f	0x32653536
0x755	0x363034
0x77e	0x33356233343135
0x78a	0x62353736
0x794	0x64356236313033
0x79c	0x3336313063
0x7a7	0x363034
0x7b4	0x66666666666666
0x7bc	0x66666666666666
0x7c4	0x66666666666666
0x7cc	0x66666666666666
0x7d4	0x66666666666666
0x7e0	0x66666666666666
0x7e8	0x66666666666666
0x7f0	0x66666666666666
0x7f8	0x66666666666666
0x800	0x66666666666666
0x828	0x33356233343135
0x83e	0x64356236313034
0x84b	0x39643536
0x851	0x363034
0x89b	0x383338
0x8cd	0x3536356235
0x8e9	0x31363830313536
0x915	0x3033
0x92b	0x353039
0x944	0x33356233343135
0x950	0x6535
0x95a	0x64356236313034
0x962	0x363631
0x967	0x64363536
0x96d	0x363034
0x996	0x33356233343135
0x9a2	0x3735373630
0x9ac	0x64356236313035
