0x60	0x303537383036
0x17	0x3537
0x1c	0x66666666666666
0x26	0x303630303230
0x2d	0x3630
0x3b	0x3833336161
0x41	0x383131343631
0x4b	0x35373830
0x54	0x30383166
0x59	0x31343631
0x6a	0x6235393165
0x7f	0x363330
0x85	0x3134363130
0x95	0x6135636235
0x9b	0x313436
0xaa	0x65643732
0xaf	0x38373134363130
0xc0	0x3465393332
0xcf	0x353738303633
0xd6	0x3937396635
0xdc	0x6131
0xe4	0x313537
0xec	0x6463613366
0xfa	0x3035373830
0x102	0x64306237353030
0x110	0x333537356230
0x119	0x363130
0x11f	0x3630
0x12e	0x3036
0x135	0x3033
0x1c1	0x333431
0x1ca	0x623537363030
0x1d4	0x64356236313030
0x1dd	0x3630
0x1e4	0x3036
0x1eb	0x3033
0x209	0x333431
0x213	0x35373630303038
0x21c	0x64356236313031
0x22c	0x3036
0x233	0x3033
0x247	0x363034
0x26c	0x33356233343135
0x282	0x64356236313031
0x28b	0x3631
0x290	0x6535
0x295	0x363034
0x2a2	0x3036
0x2a9	0x3033
0x2ca	0x33356233343135
0x2e0	0x64356236313031
0x2e9	0x3631
0x2ee	0x643536
0x2f3	0x333431
0x306	0x64356236313031
0x30f	0x36313034
0x314	0x3135363562
0x33a	0x33356233343135
0x346	0x3935
0x350	0x64356236313030
0x359	0x3631
0x363	0x333431
0x36c	0x633537
0x376	0x64356236313030
0x37f	0x3630
0x386	0x3036
0x38d	0x3033
0x3a1	0x333431
0x3aa	0x6235373630
0x3b4	0x64356236313031
0x3bd	0x36313035
0x3c2	0x613536356236
0x3cd	0x3630
0x3dc	0x3036
0x3e3	0x3033
0x4d8	0x30393535303530
0x4eb	0x363030
0x4fc	0x3135363562
0x50d	0x35373630
0x516	0x64356238333531
0x531	0x313536
0x538	0x3235
0x542	0x64356236303030
0x54e	0x66313631353631
0x558	0x323537
0x562	0x64356236303030
0x570	0x66313931363630
0x59e	0x3235376665
0x5a5	0x303431
0x5ae	0x6135376665
0x5b5	0x363030
0x5bc	0x3036
0x5c3	0x3033
0x5d3	0x35373831363130
0x5dc	0x33363130346431
0x5e7	0x303133
0x5fe	0x64356236313033
0x607	0x3834
0x610	0x3735363562
0x61b	0x3536356235
0x62a	0x3036
0x631	0x3033
0x63c	0x383732
0x640	0x6433333330
0x650	0x303630303230
0x657	0x3633
0x65a	0x66666666666666
0x672	0x3036
0x679	0x3033
0x6cf	0x313531
0x6e2	0x64356235616631
0x6f3	0x35373630303038
0x6fc	0x64356235303530
0x70b	0x3835383538
0x71b	0x363030
0x728	0x3036
0x72f	0x3033
0x73e	0x37353736303032
0x74e	0x3036
0x755	0x3033
0x762	0x3437633066
