0x11	0x3537363030
0x17	0x3536356236
0x1e	0x323562363030
0x37	0x3930
0x3e	0x66666666666666
0x46	0x66666666666666
0x4e	0x66666666666666
0x56	0x66666666666666
0x5e	0x66666666666666
0x6a	0x66666666666666
0x72	0x66666666666666
0x7a	0x66666666666666
0x82	0x66666666666666
0x8a	0x66666666666666
0xbe	0x31393335303530
0xce	0x6235373766
0xdc	0x323136
0xe1	0x6463353962
0xe9	0x3635
0xec	0x336230336334
0xf5	0x3431303533
0xfd	0x37643461363332
0x105	0x35643363336265
0x10d	0x396231636666
0x129	0x3930
0x130	0x66666666666666
0x138	0x66666666666666
0x140	0x66666666666666
0x148	0x66666666666666
0x150	0x66666666666666
0x166	0x66666666666666
0x16e	0x66666666666666
0x176	0x66666666666666
0x17e	0x66666666666666
0x186	0x66666666666666
0x1ae	0x3136
0x1b2	0x6635363562
0x1bf	0x356235
0x1c5	0x3030
