0xab	0x6135	320
0x749	0x3935	320
0xd0c	0x64316664	320
0xf47	0x3935	64
0xf47	0x3835	320
0x16bd	0x363035	320
0x16f6	0x3835	108
0x16f6	0x3761	320
0x304	0x64356236313031	2147483647
0x304	0x64356236313032	2147483647
0x304	0x63333738646161	2147483647
0x304	0x35363562363130	2147483647
0x3ba	0x64356236313031	320
0x3ba	0x64356236313032	320
0x3ba	0x63333738646161	320
0x3ba	0x35363562363130	320
0x45a	0x64356236313031	320
0x45a	0x64356236313032	320
0x45a	0x63333738646161	320
0x45a	0x35363562363130	320
0x480	0x64356236313031	320
0x480	0x64356236313032	320
0x480	0x63333738646161	320
0x480	0x35363562363130	320
0x528	0x64356236313031	320
0x528	0x64356236313032	320
0x528	0x63333738646161	320
0x528	0x35363562363130	320
0x54a	0x3033	320
0x54a	0x3137	60
0x54a	0x3161	18
0x586	0x64356236313031	320
0x586	0x64356236313032	320
0x586	0x63333738646161	320
0x586	0x35363562363130	320
0x5ca	0x64356236313031	320
0x5ca	0x64356236313032	320
0x5ca	0x63333738646161	320
0x5ca	0x35363562363130	320
0x708	0x3033	320
0x708	0x3137	60
0x708	0x3161	18
0x7a0	0x3033	320
0x7a0	0x3137	60
0x7a0	0x3161	18
0x834	0x3033	320
0x834	0x3137	60
0x834	0x3161	18
0x8e7	0x6361	320
0x958	0x3033	320
0x958	0x3137	60
0x958	0x3161	18
0xa06	0x3033	320
0xa06	0x3137	60
0xa06	0x3161	18
0xa96	0x3137	320
0xa96	0x3161	278
0xad2	0x30663364	320
0xb32	0x3033	320
0xb32	0x3137	60
0xb32	0x3161	18
0xbb0	0x3033	320
0xbb0	0x3137	60
0xbb0	0x3161	18
0xc20	0x3033	320
0xc20	0x3137	60
0xc20	0x3161	18
0xc7e	0x3033	320
0xc7e	0x3137	60
0xc7e	0x3161	18
0xd84	0x3033	320
0xd84	0x3137	60
0xd84	0x3161	18
0xe3e	0x30663364	137770548
0xe3e	0x393235	946026339
0x1120	0x64356236313031	320
0x1120	0x64356236313032	320
0x1120	0x63333738646161	320
0x1120	0x35363562363130	320
0x1140	0x336566	320
0x1235	0x64356236313031	320
0x1235	0x64356236313032	320
0x1235	0x63333738646161	320
0x1235	0x35363562363130	320
0x1338	0x30663364	137770548
0x1338	0x393235	946026339
0x141c	0x3161	320
0x1486	0x3466	320
0x150c	0x64356236313031	320
0x150c	0x64356236313032	320
0x150c	0x63333738646161	320
0x150c	0x35363562363130	320
0x152c	0x336566	320
0x15b8	0x6538	320
0x1676	0x30663364	137770548
0x1676	0x393235	946026339
